hotel_name,location,county_or_region,country,description,price_range,amenities,room_types,rating,review_summary,nearby_attractions,hotel_category,contact_information,website_url,image_url,latitude,longitude,source_url,formatted_address
Koitoboss Mbugani House,Add Listing,,Kenya,"This unit consists of three bedrooms each with two single beds. Amenities include a fully furnished sitting/dining area, equipped kitchen with a barbeque area outside. Beddings, towels, toiletries and two bathrooms. Lighting is by electricity. A house caretaker is available. Rates: Citizens & residents – Ksh. 10,000 Non-Residents – US$ 210",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/koitoboss-mbugani-house/,
Malindi Mbugani Bandas (Big),Add Listing,,Kenya,"Amenities within this unit include a microwave and an electric kettle. Beddings, towels & toiletries are also provided. Visitors are advised to carry ready food or eat out. No kitchen utensils are provided. Rates: Citizens & residents – Ksh. 3,500 Non-Residents – US $40",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/malindi-mbugani-bandas-big/,
Mara Kimana Luxury Camp,Add Listing,,Kenya,"Mara Kimana Luxury Camp is a small tented camp, situated on the banks of Sekenani River, 2kms/5 minutes from Sekenani Gate within the Masai Mara Game Reserve. It is accessible from Inside the Sekenani Gate or outside near Ten petrol station. Kimana is within a small, cool and serene woodland environment. Discover one of Masai Mara’s best kept secret with us.",,,,,,,Hotel,0724640786,,,,,https://tic.magicalkenya.com/listing/mara-kimana-luxury-camp/,
Mara Siria Tented Bush Camp & Cottages,Add Listing,,Kenya,"Perfectly positioned on the edge of the Siria Escarpment, the camp overlooks the Masai Mara Triangle and offers sweeping views across the savannah. It is just a short drive to the Oloololo Gate, providing easy access to prime wildlife areas while maintaining a quiet, secluded atmosphere. Accommodation The safari camp features 16 tents and cottages with en-suite bathrooms with safari showers and private verandas. Each room is designed in a natural style that blends into the environment, offering privacy and direct views into the surrounding wilderness. For guests expecting more luxury we offer deluxe tents with bathrooms equipped with running hot and cold water and a hairdryer, 240V sockets, dedicated wifi and a terrace offering unobstructed views Facilities & Services Two restaurants and lounge Plunge Pool with amazing views Several viewing platforms with panoramic escarpment views Complimentary Wi-Fi in designated areas Activities Daily game drives Guided bush walks & mountain biking Community activities like beading with Masai women and local school visit Rhino Sanctuary Visits Horse-riding Ballon Safari What makes Mara Siria so special? Unmatched escarpment views across the entire Mara Triangle Quiet, crowd-free location ideal for travelers seeking authenticity Personalized service thanks to the small camp size Eco-conscious operations powered mainly by solar Excellent access to the Mara’s best wildlife viewing areas Check out or reviews on tripadvisor or Google",,,,,,,Hotel,0207650066,,,,,https://tic.magicalkenya.com/listing/mara-siria-tented-bush-camp-cottages/,
Meru Mbugani House,Add Listing,,Kenya,"This unit consists of three bedrooms with a shared bathroom. Two bedrooms have a double bed in each while the last bedroom has two single beds. Within you can find a fully equipped kitchen, refrigerator and gas cooker. Lighting is by electricity. A house caretaker is available, beddings, mosquito nets, towels and toiletries. Rates: Citizens & residents – Ksh.10, 000 Non-Residents – US$170",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/meru-mbugani-house/,
Murera Mbugani Cottages (with TV),Add Listing,,Kenya,"In these units, no kitchen equipment are provided and therefore visitors are advised to carry their own. An open kitchen area is available outside. Alternatively, a kitchen is available at the nearby student’s hostel. Lighting is by electricity. Rates: Citizens & residents: Ksh.4, 500 Non-Residents: US$90",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/murera-mbugani-cottages-with-tv/,
Murera Mbugani Cottages,Add Listing,,Kenya,"Each cottage has two bedrooms each. Each bedroom has one double and one single bed. One cottage has one queen bed and a TV in each bedroom. In terms of amenities, no kitchen equipment are provided and therefore visitors are advised to carry their own. An open kitchen area is available outside. Alternatively, a kitchen is available at the nearby student’s hostel. Electricity is provided. Rates: Citizens & residents: Ksh.4, 000 Non-Residents: US$90",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/murera-mbugani-cottages/,
Naishi Mbugani House,Add Listing,,Kenya,"The main house has two bedrooms each with one double bed and one single bed. The annex has two bedrooms each with one single bed. Amenities; Main house has a tastefully furnished sitting room with a log fire place, Gas cooker, fridge, kitchen utensils, cutlery, crockery and glasses. Both the main house and annex have bathroom, beddings, toiletries and kerosene lamps. Lighting is by solar all round. The annex has no sitting room. A house caretaker is available. Rates: Citizens & residents: Ksh. 20, 000 Non-Residents: US $ 280",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/naishi-mbugani-house/,
Oribi Mbugani House,Add Listing,,Kenya,"The main consists of three bedrooms. The first and second bedroom has a double bed in each. The third bedroom has two single beds. The Annex has a single bed. Amenities include a dining area, fully equipped kitchen, bathroom and beddings. Lighting is by solar. A house caretaker is available. Rates: Citizens & residents: Ksh. 10,000 Non-Residents: US$ 150",,,,,,,Hotel,0113434304,,,,,https://tic.magicalkenya.com/listing/oribi-mbugani-house/,
Panari Hotel Nairobi,Add Listing,,Kenya,"Panari Hotel Nairobi is a 12-storey contemporary hotel offering world-class hospitality just minutes away from Jomo Kenyatta International Airport and Nairobi’s CBD. Overlooking the iconic Nairobi National Park, the hotel provides guests with stunning wildlife views right from their rooms. The hotel boasts elegantly furnished rooms and suites, diverse dining options ranging from international cuisine to local delicacies, and exceptional conferencing and banqueting facilities that make it a preferred choice for business and leisure travelers alike. A highlight of Panari Hotel is the East African Ice Rink — the only one of its kind in the region — offering guests and families a truly unique leisure activity. Additional facilities include a fitness center, spa, heated swimming pool, and shopping arcade, making it a complete lifestyle destination. Whether you’re on business, leisure, or in transit, Panari Hotel Nairobi offers unmatched convenience, comfort, and memorable experiences.",,,,,,,Hotel,0722262608,,,,,https://tic.magicalkenya.com/listing/panari-hotel-nairobi-2/,
